utp_scholarship_survey_data
ID,Start time,Completion time,Email,Name,Last modified time,Name2,Programme,Year of Study,Which UTP scholarship did you apply for?,Did you receive the scholarship?,Are you a Malaysian Muslim student?,"Do you have any disciplinary record (Syariah, criminal, or UTP)?",CGPA when you applied,Total household income per month (RM),Number of dependents (including yourself),Are you active in extracurricular or community service activities?,Straight As for SPM results,Do you currently hold any other scholarships or financial aid at the time of application
18,11/2/25 20:58:44,11/4/25 18:15:45,balqis_23838692@utp.edu.my,BALQIS OTHMAN,,Balqis Othman,Information Systems,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Waiting for reply,Yes,No,3.57,5559,6,Yes,Yes,No
19,11/5/25 20:18:10,11/5/25 17:27:58,meiling_23030645@utp.edu.my,MEI LING LEE,,Mei Ling Lee,Electrical Engineering,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Waiting for reply,No,No,3.88,12447,10,No,No,Yes
20,11/1/25 13:24:30,11/6/25 17:18:38,sangeetha_23778760@utp.edu.my,SANGEETHA GOH,,Sangeetha Goh,Electrical Engineering,Year 3,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,No,No,3.0,3022,3,No,Yes,No
21,11/3/25 14:14:18,11/1/25 8:23:18,nabila_22867872@utp.edu.my,NABILA RAZAK,,Nabila Razak,Computer Engineering,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,Yes,Yes,3.08,6067,4,Yes,No,Yes
22,11/5/25 12:58:12,11/2/25 21:15:15,nabila_22876341@utp.edu.my,NABILA RAZAK,,Nabila Razak,Civil Engineering,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,Yes,3.58,11478,5,Yes,Yes,No
23,11/5/25 23:19:56,11/4/25 12:55:21,yingyue_22239178@utp.edu.my,YING YUE LEE,,Ying Yue Lee,Electrical Engineering,Year 4,['Yayasan UTP (YUTP) Full Scholarship'],Yes,No,Yes,3.14,11729,10,Yes,Yes,No
24,11/1/25 10:58:54,11/5/25 22:12:55,siti_22851352@utp.edu.my,SITI RAZAK,,Siti Razak,Chemical Engineering,Year 2,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,No,3.96,1665,1,No,Yes,Yes
25,11/3/25 19:33:45,11/6/25 15:15:49,arun_22806329@utp.edu.my,ARUN TAN,,Arun Tan,Chemical Engineering,Year 2,['TAZU Scholarship'],Waiting for reply,No,Yes,3.41,10561,9,Yes,Yes,No
26,11/2/25 16:23:20,11/4/25 19:52:16,meiling_24073983@utp.edu.my,MEI LING A/L SUBRAMANIAM,,Mei Ling A/L Subramaniam,Computer Engineering,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],No,No,Yes,3.97,2138,9,Yes,Yes,Yes
27,11/6/25 17:56:33,11/1/25 8:29:33,balqis_23180269@utp.edu.my,BALQIS RAZAK,,Balqis Razak,Chemical Engineering,Year 3,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,Yes,3.63,8617,10,Yes,No,No
28,11/3/25 20:55:39,11/1/25 18:13:49,nabila_22923723@utp.edu.my,NABILA RAZAK,,Nabila Razak,Bachelor of Computer Science,Year 4,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,Yes,Yes,3.02,4840,3,Yes,No,No
29,11/2/25 22:26:19,11/5/25 9:46:39,xinyi_23173599@utp.edu.my,XIN YI LEE,,Xin Yi Lee,Bachelor of Computer Science,Year 1,['TAZU Scholarship'],Waiting for reply,No,No,3.13,14854,8,No,Yes,No
30,11/3/25 18:49:34,11/2/25 14:56:33,danial_23386126@utp.edu.my,DANIAL HASSAN,,Danial Hassan,Civil Engineering,Year 3,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,No,3.3,7180,9,Yes,No,No
31,11/3/25 16:29:58,11/5/25 20:15:15,azlan_23311690@utp.edu.my,AZLAN ABDULLAH,,Azlan Abdullah,Computer Engineering,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,Yes,No,3.69,6744,8,No,No,No
32,11/1/25 15:12:56,11/1/25 8:27:49,yingyue_22440458@utp.edu.my,YING YUE GOH,,Ying Yue Goh,Mechanical Engineering,Year 3,['Yayasan UTP (YUTP) Full Scholarship'],Yes,No,Yes,3.88,13937,3,No,Yes,No
33,11/5/25 8:28:53,11/1/25 12:21:20,hannah_22995714@utp.edu.my,HANNAH ABDULLAH,,Hannah Abdullah,Information Systems,Year 3,['Yayasan UTP (YUTP) Full Scholarship'],Yes,Yes,Yes,3.74,3934,10,Yes,Yes,No
34,11/3/25 13:18:49,11/5/25 16:50:42,aqil_23737692@utp.edu.my,AQIL TARMIZI,,Aqil Tarmizi,Chemical Engineering,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,Yes,Yes,3.35,7049,4,Yes,Yes,Yes
35,11/2/25 17:19:55,11/4/25 10:25:28,pavithra_23039068@utp.edu.my,PAVITHRA WONG,,Pavithra Wong,Information Systems,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,No,No,3.7,8548,7,Yes,Yes,No
36,11/6/25 21:45:42,11/2/25 9:11:22,letchumy_24062237@utp.edu.my,LETCHUMY NG,,Letchumy Ng,Civil Engineering,Year 2,['TAZU Scholarship'],Waiting for reply,No,Yes,3.29,8210,1,No,No,No
37,11/4/25 17:52:37,11/1/25 18:27:21,hafiz_22323248@utp.edu.my,HAFIZ ZAINAL,,Hafiz Zainal,Computer Engineering,Year 3,['Yayasan UTP (YUTP) Full Scholarship'],Yes,Yes,Yes,3.74,12866,6,No,Yes,No
38,11/6/25 17:29:15,11/5/25 22:51:25,mahesh_23713015@utp.edu.my,MAHESH A/L VIGNESWARAN,,Mahesh A/L Vigneswaran,Mechanical Engineering,Year 3,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,No,Yes,3.03,7499,8,Yes,Yes,No
39,11/5/25 23:40:54,11/5/25 10:48:22,ridzuan_22497213@utp.edu.my,RIDZUAN RAZAK,,Ridzuan Razak,Computer Engineering,Year 2,['TAZU Scholarship'],Waiting for reply,Yes,No,3.16,7735,8,No,No,Yes
40,11/6/25 13:54:36,11/2/25 10:22:15,navin_22363868@utp.edu.my,NAVIN A/L RAMANATHAN,,Navin A/L Ramanathan,Computer Engineering,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,No,Yes,3.78,3180,9,No,No,No
41,11/6/25 20:28:37,11/5/25 11:41:39,navin_22167028@utp.edu.my,NAVIN A/L SUBRAMANIAM,,Navin A/L Subramaniam,Information Systems,Year 1,['TAZU Scholarship'],No,No,Yes,3.08,10424,7,No,Yes,No
42,11/4/25 14:56:55,11/6/25 23:49:59,sangeetha_23906564@utp.edu.my,SANGEETHA LEE,,Sangeetha Lee,Chemical Engineering,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],No,No,No,3.81,9400,7,Yes,Yes,Yes
43,11/1/25 12:48:46,11/1/25 18:26:30,weijie_23496673@utp.edu.my,WEI JIE A/L SUBRAMANIAM,,Wei Jie A/L Subramaniam,Chemical Engineering,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,No,Yes,3.84,7111,3,Yes,No,No
44,11/6/25 16:33:16,11/5/25 16:43:58,liyana_22398024@utp.edu.my,LIYANA HASSAN,,Liyana Hassan,Bachelor of Computer Science,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,Yes,No,3.94,7371,1,Yes,Yes,Yes
45,11/6/25 22:38:50,11/6/25 18:48:44,thinesh_24099765@utp.edu.my,THINESH LEE,,Thinesh Lee,Mechanical Engineering,Year 4,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,No,Yes,3.04,1075,1,No,Yes,Yes
46,11/2/25 17:33:32,11/1/25 12:36:48,farhan_23762041@utp.edu.my,FARHAN AZIZ,,Farhan Aziz,Bachelor of Computer Science,Year 1,['TAZU Scholarship'],Yes,Yes,Yes,3.07,12190,10,Yes,No,Yes
47,11/4/25 9:21:32,11/3/25 20:16:12,farah_23532821@utp.edu.my,FARAH HASHIM,,Farah Hashim,Bachelor of Computer Science,Year 2,['Yayasan UTP (YUTP) Full Scholarship'],No,Yes,Yes,3.08,2511,10,Yes,No,No
48,11/3/25 20:34:47,11/3/25 12:13:45,weijie_23484214@utp.edu.my,WEI JIE A/L SUBRAMANIAM,,Wei Jie A/L Subramaniam,Civil Engineering,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,No,No,3.7,12506,1,No,Yes,No
49,11/6/25 11:34:33,11/5/25 19:40:59,navin_24001455@utp.edu.my,NAVIN A/L VIGNESWARAN,,Navin A/L Vigneswaran,Bachelor of Computer Science,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,No,No,3.27,10531,10,No,No,No
50,11/1/25 15:54:57,11/4/25 8:59:21,farhan_23934262@utp.edu.my,FARHAN ZAINAL,,Farhan Zainal,Computer Engineering,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Waiting for reply,Yes,No,3.35,4393,8,Yes,Yes,No
51,11/1/25 17:37:30,11/4/25 9:58:17,farah_23713815@utp.edu.my,FARAH HASHIM,,Farah Hashim,Electrical Engineering,Year 3,['TAZU Scholarship'],Yes,Yes,Yes,3.97,5465,9,Yes,Yes,Yes
52,11/4/25 23:35:40,11/1/25 21:20:21,jinhao_23220143@utp.edu.my,JIN HAO CHONG,,Jin Hao Chong,Information Systems,Year 2,['TAZU Scholarship'],Yes,No,Yes,3.38,10962,4,Yes,Yes,Yes
53,11/6/25 17:24:55,11/5/25 23:42:54,mahesh_22406207@utp.edu.my,MAHESH CHONG,,Mahesh Chong,Chemical Engineering,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],No,No,Yes,3.5,12654,3,No,Yes,Yes
54,11/4/25 17:33:19,11/3/25 18:12:16,kugan_22727957@utp.edu.my,KUGAN CHONG,,Kugan Chong,Information Systems,Year 3,['TAZU Scholarship'],No,No,Yes,3.66,14516,7,Yes,No,No
55,11/1/25 17:25:25,11/6/25 14:59:59,keshwin_24042675@utp.edu.my,KESHWIN GOH,,Keshwin Goh,Electrical Engineering,Year 4,['TAZU Scholarship'],Yes,No,No,3.16,8149,8,Yes,Yes,Yes
56,11/2/25 16:16:47,11/3/25 11:25:46,danial_23679670@utp.edu.my,DANIAL HAMZAH,,Danial Hamzah,Civil Engineering,Year 4,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,Yes,Yes,3.88,10592,8,Yes,No,No
57,11/6/25 19:18:49,11/3/25 19:36:56,muhammad_22656580@utp.edu.my,MUHAMMAD SALLEH,,Muhammad Salleh,Computer Engineering,Year 3,['TAZU Scholarship'],Waiting for reply,Yes,Yes,3.88,11608,3,Yes,No,Yes
58,11/5/25 16:16:50,11/1/25 13:30:40,liyana_22342343@utp.edu.my,LIYANA TARMIZI,,Liyana Tarmizi,Electrical Engineering,Year 3,['Yayasan UTP (YUTP) Full Scholarship'],No,Yes,Yes,3.11,6991,9,Yes,No,Yes
59,11/4/25 14:31:23,11/6/25 18:46:31,xinyi_23677562@utp.edu.my,XIN YI LIM,,Xin Yi Lim,Civil Engineering,Year 2,['TAZU Scholarship'],No,No,No,3.11,12470,3,Yes,No,Yes
60,11/5/25 18:58:45,11/1/25 21:54:54,navin_23417914@utp.edu.my,NAVIN LEE,,Navin Lee,Mechanical Engineering,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,No,Yes,3.54,2259,3,Yes,Yes,No
61,11/3/25 12:23:42,11/3/25 16:36:35,danial_23712117@utp.edu.my,DANIAL HASSAN,,Danial Hassan,Civil Engineering,Year 4,['Yayasan UTP (YUTP) Full Scholarship'],No,Yes,No,3.51,14111,7,Yes,Yes,Yes
62,11/5/25 16:57:24,11/5/25 22:31:25,thinesh_23827117@utp.edu.my,THINESH A/L RAJENDRAN,,Thinesh A/L Rajendran,Mechanical Engineering,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,No,No,3.68,11657,8,Yes,Yes,Yes
63,11/5/25 22:31:32,11/1/25 19:53:24,nabila_22165629@utp.edu.my,NABILA ABDULLAH,,Nabila Abdullah,Mechanical Engineering,Year 2,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,Yes,3.07,5197,9,No,Yes,Yes
64,11/1/25 13:47:44,11/3/25 20:11:59,jinhao_23119000@utp.edu.my,JIN HAO WONG,,Jin Hao Wong,Chemical Engineering,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,No,Yes,3.85,7108,4,No,Yes,Yes
65,11/2/25 23:19:54,11/3/25 13:57:36,pavithra_22183047@utp.edu.my,PAVITHRA A/L SUBRAMANIAM,,Pavithra A/L Subramaniam,Information Systems,Year 3,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,No,No,3.84,9456,2,No,Yes,No
66,11/2/25 10:17:20,11/5/25 19:12:53,pavithra_23828300@utp.edu.my,PAVITHRA GOH,,Pavithra Goh,Civil Engineering,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Waiting for reply,No,No,3.43,1893,5,Yes,No,Yes
67,11/1/25 18:50:17,11/1/25 18:50:54,aqil_22406906@utp.edu.my,AQIL RAZAK,,Aqil Razak,Information Systems,Year 4,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Yes,Yes,No,3.99,14200,1,Yes,Yes,Yes
68,11/5/25 20:58:42,11/4/25 22:40:25,aisyah_24065014@utp.edu.my,AISYAH HASSAN,,Aisyah Hassan,Bachelor of Computer Science,Year 4,['TAZU Scholarship'],Yes,Yes,No,3.18,8413,10,Yes,Yes,Yes
69,11/6/25 19:22:39,11/5/25 23:22:40,pavithra_22411005@utp.edu.my,PAVITHRA CHAN,,Pavithra Chan,Mechanical Engineering,Year 4,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Waiting for reply,No,No,3.98,14717,7,Yes,Yes,Yes
70,11/4/25 23:44:30,11/4/25 23:32:38,mahesh_23643828@utp.edu.my,MAHESH NG,,Mahesh Ng,Chemical Engineering,Year 3,['Yayasan UTP (YUTP) Full Scholarship'],Yes,No,No,3.32,1292,9,Yes,Yes,No
71,11/5/25 16:21:26,11/5/25 17:47:23,kugan_22942431@utp.edu.my,KUGAN CHAN,,Kugan Chan,Mechanical Engineering,Year 1,['TAZU Scholarship'],Yes,No,Yes,3.32,12247,8,No,Yes,No
72,11/4/25 23:12:24,11/4/25 16:48:30,hannah_23666085@utp.edu.my,HANNAH TARMIZI,,Hannah Tarmizi,Bachelor of Computer Science,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,Yes,3.83,8185,10,No,Yes,No
73,11/5/25 8:54:43,11/3/25 16:27:19,meiling_23403853@utp.edu.my,MEI LING CHAN,,Mei Ling Chan,Bachelor of Computer Science,Year 1,['TAZU Scholarship'],Waiting for reply,No,No,3.25,7252,10,Yes,No,Yes
74,11/4/25 18:40:38,11/2/25 20:35:56,liyana_23825719@utp.edu.my,LIYANA TARMIZI,,Liyana Tarmizi,Mechanical Engineering,Year 2,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,Yes,3.51,7752,3,No,Yes,Yes
75,11/1/25 19:53:21,11/6/25 20:14:28,navin_23053244@utp.edu.my,NAVIN NG,,Navin Ng,Civil Engineering,Year 3,['Yayasan UTP (YUTP) Full Scholarship'],Yes,No,Yes,3.13,9315,5,No,Yes,Yes
76,11/6/25 9:28:29,11/4/25 17:32:24,siti_23843187@utp.edu.my,SITI AZIZ,,Siti Aziz,Computer Engineering,Year 3,['TAZU Scholarship'],Yes,Yes,No,3.41,8363,6,Yes,No,Yes
77,11/4/25 9:41:29,11/4/25 15:52:17,farah_22376390@utp.edu.my,FARAH RAZAK,,Farah Razak,Bachelor of Computer Science,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,No,3.36,11430,4,No,No,No
78,11/5/25 9:38:24,11/4/25 21:23:22,ain_22172528@utp.edu.my,AIN SALLEH,,Ain Salleh,Chemical Engineering,Year 3,['Yayasan UTP (YUTP) Full Scholarship'],Yes,Yes,Yes,3.92,4700,5,No,Yes,No
79,11/2/25 14:53:44,11/4/25 11:12:27,aisyah_22188784@utp.edu.my,AISYAH TARMIZI,,Aisyah Tarmizi,Chemical Engineering,Year 4,['Yayasan UTP (YUTP) Full Scholarship'],No,Yes,No,3.06,8481,1,No,Yes,No
80,11/4/25 12:46:18,11/2/25 10:39:50,meiling_23761001@utp.edu.my,MEI LING NG,,Mei Ling Ng,Civil Engineering,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,No,Yes,3.22,6778,10,No,No,Yes
